Month,fecha,Cost,MA-13,Tendencia,Serie sin tendencia,Mes,Estacionalidad,Residual,,
1993 sep.,01/09/1993,0.60151406,0.5744673,0.5794988,0.0220153,9,0.092107829,-0.070093,,
1993 oct.,01/10/1993,0.6329471,0.5777910,0.5838217,0.0491254,10,0.139024537,-0.089899,,
1993 nov.,01/11/1993,0.6996054,0.5852376,0.5872067,0.1123987,11,0.153386308,-0.040988,,
1993 dic.,01/12/1993,0.96308051,0.5938264,0.5954411,0.3676394,12,0.253233345,0.114406,,
1994 ene.,01/01/1994,0.8193253,0.6005951,0.6033415,0.2159839,1,0.214451655,0.001532,,
1994 feb.,01/02/1994,0.4376698,0.6131830,0.6119578,-0.1742880,2,-0.249306192,0.075018,,
1994 mar.,01/03/1994,0.50612127,0.6229872,0.6207598,-0.1146385,3,-0.182359424,0.067721,,
1994 abr.,01/04/1994,0.47049117,0.6297701,0.6265769,-0.1560857,4,-0.197732147,0.041646,,
1994 may.,01/05/1994,0.51069626,0.6381052,0.6276461,-0.1169499,5,-0.140020727,0.023071,,
1994 jun.,01/06/1994,0.5405138,0.6468515,0.6281797,-0.0876659,6,-0.09982249,0.012157,,
1994 jul.,01/07/1994,0.55811892,0.6345463,0.6275434,-0.0694244,7,-0.009183856,-0.060241,,
1994 ago.,01/08/1994,0.6728521,0.6080796,0.6269353,0.0459167,8,0.04451671,0.001400,,
1994 sep.,01/09/1994,0.6858974,0.6169182,0.6259968,0.0599005,9,0.092107829,-0.032207,,
1994 oct.,01/10/1994,0.6896920,0.6185326,0.6247168,0.0649752,10,0.139024537,-0.074049,,
1994 nov.,01/11/1994,0.7413036,0.6255140,0.6272025,0.1141011,11,0.153386308,-0.039285,,
1994 dic.,01/12/1994,0.81330763,0.6315357,0.6340463,0.1792613,12,0.253233345,-0.073972,,
1995 ene.,01/01/1995,0.8031126,0.6378910,0.6410550,0.1620576,1,0.214451655,-0.052394,,
1995 feb.,01/02/1995,0.47525824,0.6519463,0.6491992,-0.1739409,2,-0.249306192,0.075365,,
1995 mar.,01/03/1995,0.5525723,0.6559863,0.6583828,-0.1058105,3,-0.182359424,0.076549,,
1995 abr.,01/04/1995,0.52710782,0.6659790,0.6680685,-0.1409607,4,-0.197732147,0.056771,,
1995 may.,01/05/1995,0.56124982,0.6755419,0.6738315,-0.1125816,5,-0.140020727,0.027439,,
1995 jun.,01/06/1995,0.5889776,0.6897996,0.6785105,-0.0895329,6,-0.09982249,0.010290,,
1995 jul.,01/07/1995,0.62313362,0.6993356,0.6828904,-0.0597568,7,-0.009183856,-0.050573,,
1995 ago.,01/08/1995,0.7408372,0.6782317,0.6868078,0.0540294,8,0.04451671,0.009513,,
1995 sep.,01/09/1995,0.7253718,0.6846995,0.6897211,0.0356507,9,0.092107829,-0.056457,,
1995 oct.,01/10/1995,0.8158030,0.6866456,0.6919028,0.1239002,10,0.139024537,-0.015124,,
1995 nov.,01/11/1995,0.8140095,0.6934009,0.6937812,0.1202282,11,0.153386308,-0.033158,,
1995 dic.,01/12/1995,0.92665305,0.6959347,0.6987128,0.2279402,12,0.253233345,-0.025293,,
1996 ene.,01/01/1996,0.9372759,0.7050717,0.7035939,0.2336820,1,0.214451655,0.019230,,
1996 feb.,01/02/1996,0.5287617,0.7124846,0.7078974,-0.1791357,2,-0.249306192,0.070170,,
1996 mar.,01/03/1996,0.55933994,0.7127528,0.7129620,-0.1536220,3,-0.182359424,0.028737,,
1996 abr.,01/04/1996,0.57787166,0.7188669,0.7167874,-0.1389158,4,-0.197732147,0.058816,,
1996 may.,01/05/1996,0.61492741,0.7167700,0.7141049,-0.0991774,5,-0.140020727,0.040843,,
1996 jun.,01/06/1996,0.5941888,0.7288530,0.7098854,-0.1156966,6,-0.09982249,-0.015874,,
1996 jul.,01/07/1996,0.7077584,0.7227131,0.7052838,0.0024746,7,-0.009183856,0.011658,,
1996 ago.,01/08/1996,0.71950195,0.6862936,0.6996381,0.0198638,8,0.04451671,-0.024653,,
1996 sep.,01/09/1996,0.7443237,0.6829483,0.6940024,0.0503213,9,0.092107829,-0.041787,,
1996 oct.,01/10/1996,0.8048551,0.6805420,0.6874678,0.1173873,10,0.139024537,-0.021637,,
1996 nov.,01/11/1996,0.78854235,0.6793470,0.6814833,0.1070590,11,0.153386308,-0.046327,,
1996 dic.,01/12/1996,0.9710894,0.6773196,0.6811796,0.2899098,12,0.253233345,0.036676,,
1997 ene.,01/01/1997,0.8468335,0.6831112,0.6819625,0.1648710,1,0.214451655,-0.049581,,
1997 feb.,01/02/1997,0.46382252,0.6808216,0.6827119,-0.2188894,2,-0.249306192,0.030417,,
1997 mar.,01/03/1997,0.4852732,0.6841673,0.6858941,-0.2006209,3,-0.182359424,-0.018261,,
1997 abr.,01/04/1997,0.5280586,0.6884288,0.6874918,-0.1594332,4,-0.197732147,0.038299,,
1997 may.,01/05/1997,0.56233647,0.6857878,0.6843469,-0.1220105,5,-0.140020727,0.018010,,
1997 jun.,01/06/1997,0.5885704,0.7016222,0.6821950,-0.0936246,6,-0.09982249,0.006198,,
1997 jul.,01/07/1997,0.6694804,0.6885034,0.6801296,-0.0106493,7,-0.009183856,-0.001465,,
1997 ago.,01/08/1997,0.6779937,0.6610975,0.6777196,0.0002740,8,0.04451671,-0.044243,,
1997 sep.,01/09/1997,0.7629955,0.6657579,0.6761377,0.0868578,9,0.092107829,-0.005250,,
1997 oct.,01/10/1997,0.7997237,0.6697099,0.6733122,0.1264116,10,0.139024537,-0.012613,,
1997 nov.,01/11/1997,0.77052192,0.6715585,0.6724552,0.0980667,11,0.153386308,-0.055320,,
1997 dic.,01/12/1997,0.9943893,0.6747146,0.6767980,0.3175913,12,0.253233345,0.064358,,
1998 ene.,01/01/1998,0.80054443,0.6818435,0.6807127,0.1198318,1,0.214451655,-0.094620,,
1998 feb.,01/02/1998,0.4905572,0.6825046,0.6842087,-0.1936515,2,-0.249306192,0.055655,,
1998 mar.,01/03/1998,0.5244080,0.6914969,0.6897178,-0.1653098,3,-0.182359424,0.017050,,
1998 abr.,01/04/1998,0.5366495,0.6931606,0.6936627,-0.1570132,4,-0.197732147,0.040719,,
1998 may.,01/05/1998,0.5520905,0.6941825,0.6934260,-0.1413354,5,-0.140020727,-0.001315,,
1998 jun.,01/06/1998,0.6033656,0.7101218,0.6948799,-0.0915142,6,-0.09982249,0.008308,,
1998 jul.,01/07/1998,0.6812454,0.7023289,0.6955939,-0.0143485,7,-0.009183856,-0.005165,,
1998 ago.,01/08/1998,0.6780754,0.6801867,0.6971976,-0.0191222,8,0.04451671,-0.063639,,
1998 sep.,01/09/1998,0.7948927,0.6926819,0.7003232,0.0945695,9,0.092107829,0.002462,,
1998 oct.,01/10/1998,0.7846239,0.6964949,0.7030100,0.0816139,10,0.139024537,-0.057411,,
1998 nov.,01/11/1998,0.8130087,0.7043864,0.7086227,0.1043860,11,0.153386308,-0.049000,,
1998 dic.,01/12/1998,0.9777323,0.7160618,0.7197574,0.2579749,12,0.253233345,0.004742,,
1999 ene.,01/01/1999,0.8930815,0.7289297,0.7302389,0.1628426,1,0.214451655,-0.051609,,
1999 feb.,01/02/1999,0.5126960,0.7416175,0.7419632,-0.2292673,2,-0.249306192,0.020039,,
1999 mar.,01/03/1999,0.6529959,0.7581293,0.7551722,-0.1021763,3,-0.182359424,0.080183,,
1999 abr.,01/04/1999,0.5739764,0.7660529,0.7666246,-0.1926482,4,-0.197732147,0.005084,,
1999 may.,01/05/1999,0.63923842,0.7785650,0.7727245,-0.1334860,5,-0.140020727,0.006535,,
1999 jun.,01/06/1999,0.7038719,0.7968495,0.7781746,-0.0743027,6,-0.09982249,0.025520,,
1999 jul.,01/07/1999,0.77064824,0.7962282,0.7808922,-0.0102440,7,-0.009183856,-0.001060,,
1999 ago.,01/08/1999,0.84618588,0.7716290,0.7834805,0.0627054,8,0.04451671,0.018189,,
1999 sep.,01/09/1999,0.8927289,0.7797683,0.7852405,0.1074884,9,0.092107829,0.015381,,
1999 oct.,01/10/1999,0.8978999,0.7771529,0.7860586,0.1118413,10,0.139024537,-0.027183,,
1999 nov.,01/11/1999,0.9472807,0.7841708,0.7880132,0.1592675,11,0.153386308,0.005881,,
1999 dic.,01/12/1999,1.0507073,0.7908848,0.7932518,0.2574554,12,0.253233345,0.004222,,
2000 ene.,01/01/2000,0.96965567,0.8025765,0.7980166,0.1716390,1,0.214451655,-0.042813,,
2000 feb.,01/02/2000,0.5732915,0.8099101,0.8036023,-0.2303108,2,-0.249306192,0.018995,,
2000 mar.,01/03/2000,0.6185068,0.8082995,0.8089079,-0.1904010,3,-0.182359424,-0.008042,,
2000 abr.,01/04/2000,0.6189957,0.8131220,0.8131784,-0.1941827,4,-0.197732147,0.003549,,
2000 may.,01/05/2000,0.66520922,0.8162525,0.8107347,-0.1455255,5,-0.140020727,-0.005505,,
2000 jun.,01/06/2000,0.7265202,0.8213097,0.8083343,-0.0818141,6,-0.09982249,0.018008,,
2000 jul.,01/07/2000,0.85586494,0.8207788,0.8064932,0.0493717,7,-0.009183856,0.058556,,
2000 ago.,01/08/2000,0.8659843,0.7854704,0.8048986,0.0610857,8,0.04451671,0.016569,,
2000 sep.,01/09/2000,0.8252488,0.7931072,0.8032328,0.0220160,9,0.092107829,-0.070092,,
2000 oct.,01/10/2000,0.95542102,0.7954120,0.8022227,0.1531983,10,0.139024537,0.014174,,
2000 nov.,01/11/2000,0.9385960,0.8019596,0.8018580,0.1367379,11,0.153386308,-0.016648,,
2000 dic.,01/12/2000,1.0130244,0.8045921,0.8065535,0.2064709,12,0.253233345,-0.046762,,
2001 ene.,01/01/2001,1.0438054,0.8142386,0.8123453,0.2314600,1,0.214451655,0.017008,,
2001 feb.,01/02/2001,0.5106473,0.8182264,0.8195020,-0.3088548,2,-0.249306192,-0.059549,,
2001 mar.,01/03/2001,0.67256901,0.8183387,0.8265334,-0.1539644,3,-0.182359424,0.028395,,
2001 abr.,01/04/2001,0.6484701,0.8336498,0.8346486,-0.1861785,4,-0.197732147,0.011554,,
2001 may.,01/05/2001,0.7041147,0.8455089,0.8362404,-0.1321257,5,-0.140020727,0.007895,,
2001 jun.,01/06/2001,0.6994308,0.8511795,0.8386967,-0.1392660,6,-0.09982249,-0.039444,,
2001 jul.,01/07/2001,0.85192587,0.8613982,0.8412172,0.0107086,7,-0.009183856,0.019893,,
2001 ago.,01/08/2001,0.9077052,0.8253812,0.8428632,0.0648420,8,0.04451671,0.020325,,
2001 sep.,01/09/2001,0.86744447,0.8354210,0.8433424,0.0241021,9,0.092107829,-0.068006,,
2001 oct.,01/10/2001,1.0242928,0.8359820,0.8454139,0.1788789,10,0.139024537,0.039854,,
2001 nov.,01/11/2001,1.1095902,0.8451719,0.8468218,0.2627684,11,0.153386308,0.109382,,
2001 dic.,01/12/2001,1.01231323,0.8488627,0.8545342,0.1577791,12,0.253233345,-0.095454,,
2002 ene.,01/01/2002,1.1458676,0.8656806,0.8625654,0.2833022,1,0.214451655,0.068851,,
2002 feb.,01/02/2002,0.5755844,0.8712531,0.8703242,-0.2947398,2,-0.249306192,-0.045434,,
2002 mar.,01/03/2002,0.6411646,0.8793679,0.8766953,-0.2355307,3,-0.182359424,-0.053171,,
2002 abr.,01/04/2002,0.67986207,0.8916395,0.8832625,-0.2034004,4,-0.197732147,-0.005668,,
2002 may.,01/05/2002,0.7679384,0.8902936,0.8811902,-0.1132518,5,-0.140020727,0.026769,,
2002 jun.,01/06/2002,0.7520959,0.8897694,0.8790662,-0.1269703,6,-0.09982249,-0.027148,,
2002 jul.,01/07/2002,0.91806359,0.8948334,0.8760270,0.0420366,7,-0.009183856,0.051220,,
2002 ago.,01/08/2002,0.9243675,0.8511741,0.8720111,0.0523564,8,0.04451671,0.007840,,
2002 sep.,01/09/2002,1.01319767,0.8563855,0.8685480,0.1446496,9,0.092107829,0.052542,,
2002 oct.,01/10/2002,1.0269761,0.8580934,0.8669649,0.1600112,10,0.139024537,0.020987,,
2002 nov.,01/11/2002,1.0067960,0.8635284,0.8646455,0.1421505,11,0.153386308,-0.011236,,
2002 dic.,01/12/2002,1.1027757,0.8660520,0.8703245,0.2324512,12,0.253233345,-0.020782,,
2003 ene.,01/01/2003,1.07814487,0.8786878,0.8767695,0.2013754,1,0.214451655,-0.013076,,
2003 feb.,01/02/2003,0.5782962,0.8785972,0.8832327,-0.3049366,2,-0.249306192,-0.055630,,
2003 mar.,01/03/2003,0.6433333,0.8909274,0.8912980,-0.2479647,3,-0.182359424,-0.065605,,
2003 abr.,01/04/2003,0.6633674,0.9015005,0.8993033,-0.2359359,4,-0.197732147,-0.038204,,
2003 may.,01/05/2003,0.7505160,0.9033360,0.9009962,-0.1504802,5,-0.140020727,-0.010460,,
2003 jun.,01/06/2003,0.8007456,0.9199851,0.9045781,-0.1038325,6,-0.09982249,-0.004010,,
2003 jul.,01/07/2003,0.9163610,0.9220889,0.9074607,0.0089003,7,-0.009183856,0.018084,,
2003 ago.,01/08/2003,0.9168868,0.8905385,0.9102808,0.0066060,8,0.04451671,-0.037911,,
2003 sep.,01/09/2003,1.08465893,0.9036706,0.9140066,0.1706523,9,0.092107829,0.078544,,
2003 oct.,01/10/2003,1.15064822,0.9111055,0.9175611,0.2330871,10,0.139024537,0.094063,,
2003 nov.,01/11/2003,1.0508382,0.9212409,0.9216778,0.1291604,11,0.153386308,-0.024226,,
2003 dic.,01/12/2003,1.2232345,0.9294168,0.9326922,0.2905423,12,0.253233345,0.037309,,
2004 ene.,01/01/2004,1.13012521,0.9448667,0.9428895,0.1872358,1,0.214451655,-0.027216,,
2004 feb.,01/02/2004,0.66798867,0.9509054,0.9527431,-0.2847545,2,-0.249306192,-0.035448,,
2004 mar.,01/03/2004,0.74901428,0.9676396,0.9634170,-0.2144027,3,-0.182359424,-0.032043,,
2004 abr.,01/04/2004,0.7399860,0.9750513,0.9723455,-0.2323595,4,-0.197732147,-0.034627,,
2004 may.,01/05/2004,0.7951286,0.9800812,0.9732154,-0.1780867,5,-0.140020727,-0.038066,,
2004 jun.,01/06/2004,0.8568028,0.9959581,0.9730534,-0.1162505,6,-0.09982249,-0.016428,,
2004 jul.,01/07/2004,1.0015932,0.9919162,0.9696380,0.0319552,7,-0.009183856,0.041139,,
2004 ago.,01/08/2004,0.9948643,0.9509558,0.9646722,0.0301921,8,0.04451671,-0.014325,,
2004 sep.,01/09/2004,1.1344320,0.9497713,0.9595058,0.1749262,9,0.092107829,0.082818,,
2004 oct.,01/10/2004,1.1810110,0.9437321,0.9522639,0.2287471,10,0.139024537,0.089723,,
2004 nov.,01/11/2004,1.2160370,0.9402907,0.9456534,0.2703836,11,0.153386308,0.116997,,
2004 dic.,01/12/2004,1.2572380,0.9439164,0.9459918,0.3112462,12,0.253233345,0.058013,,
2005 ene.,01/01/2005,1.1706900,0.9452651,0.9453194,0.2253706,1,0.214451655,0.010919,,
2005 feb.,01/02/2005,0.5976390,0.9456423,0.9451604,-0.3475214,2,-0.249306192,-0.098215,,
2005 mar.,01/03/2005,0.6525900,0.9533248,0.9448851,-0.2922951,3,-0.182359424,-0.109936,,
2005 abr.,01/04/2005,0.6705050,0.9450641,0.9438002,-0.2732952,4,-0.197732147,-0.075563,,
2005 may.,01/05/2005,0.6952480,0.9426195,0.9361099,-0.2408619,5,-0.140020727,-0.100841,,
2005 jun.,01/06/2005,0.8422630,0.9383638,0.9295670,-0.0873040,6,-0.09982249,0.012519,,
2005 jul.,01/07/2005,0.8743360,0.9363217,0.9217843,-0.0474483,7,-0.009183856,-0.038264,,
2005 ago.,01/08/2005,1.0064970,0.8914328,0.9166861,0.0898109,8,0.04451671,0.045294,,
2005 sep.,01/09/2005,1.0947360,0.8998421,0.9130659,0.1816701,9,0.092107829,0.089562,,
2005 oct.,01/10/2005,1.0270430,0.8988460,0.9105158,0.1165272,10,0.139024537,-0.022497,,
2005 nov.,01/11/2005,1.1492320,0.9093768,0.9101840,0.2390480,11,0.153386308,0.085662,,
2005 dic.,01/12/2005,1.1607120,0.9172785,0.9161462,0.2445658,12,0.253233345,-0.008668,,
2006 ene.,01/01/2006,1.2306910,0.9205130,0.9217150,0.3089760,1,0.214451655,0.094524,,
2006 feb.,01/02/2006,0.5871350,0.9339985,0.9283162,-0.3411812,2,-0.249306192,-0.091875,,
2006 mar.,01/03/2006,0.7069590,0.9331687,0.9330924,-0.2261334,3,-0.182359424,-0.043774,,
2006 abr.,01/04/2006,0.6396410,0.9388238,0.9374277,-0.2977867,4,-0.197732147,-0.100055,,
2006 may.,01/05/2006,0.8074050,0.9450542,0.9343455,-0.1269405,5,-0.140020727,0.013080,,
2006 jun.,01/06/2006,0.7979700,0.9428097,0.9306255,-0.1326555,6,-0.09982249,-0.032833,,
2006 jul.,01/07/2006,0.8843120,0.9476256,0.9254284,-0.0411164,7,-0.009183856,-0.031933,,
2006 ago.,01/08/2006,1.0496480,0.8989381,0.9205841,0.1290639,8,0.04451671,0.084547,,
2006 sep.,01/09/2006,0.9957090,0.9079583,0.9151852,0.0805238,9,0.092107829,-0.011584,,
2006 oct.,01/10/2006,1.1682530,0.8967892,0.9118231,0.2564299,10,0.139024537,0.117405,,
2006 nov.,01/11/2006,1.1080380,0.9049135,0.9099039,0.1981341,11,0.153386308,0.044748,,
2006 dic.,01/12/2006,1.1200530,0.9072619,0.9156141,0.2044389,12,0.253233345,-0.048794,,
2007 ene.,01/01/2007,1.2233190,0.9192753,0.9212914,0.3020276,1,0.214451655,0.087576,,
2007 feb.,01/02/2007,0.5977530,0.9341913,0.9285124,-0.3307594,2,-0.249306192,-0.081453,,
2007 mar.,01/03/2007,0.7043980,0.9389092,0.9353261,-0.2309281,3,-0.182359424,-0.048569,,
2007 abr.,01/04/2007,0.5617600,0.9476992,0.9429020,-0.3811420,4,-0.197732147,-0.183410,,
2007 may.,01/05/2007,0.7452580,0.9473363,0.9436903,-0.1984323,5,-0.140020727,-0.058412,,
2007 jun.,01/06/2007,0.8379340,0.9526094,0.9429156,-0.1049816,6,-0.09982249,-0.005159,,
2007 jul.,01/07/2007,0.9541440,0.9602931,0.9428240,0.0113200,7,-0.009183856,0.020504,,
2007 ago.,01/08/2007,1.0782195,0.9247933,0.9442734,0.1339461,8,0.04451671,0.089429,,
2007 sep.,01/09/2007,1.1109816,0.9287689,0.9459601,0.1650216,9,0.092107829,0.072914,,
2007 oct.,01/10/2007,1.10997914,0.9382680,,,10,,,,
2007 nov.,01/11/2007,1.1635343,0.9578446,,,11,,,,
2007 dic.,01/12/2007,1.1765890,0.9591430,,,12,,,,
2008 ene.,01/01/2008,1.2199410,,,,1,,,,
2008 feb.,01/02/2008,0.7618220,,,,2,,,,
2008 mar.,01/03/2008,0.6494350,,,,3,,,,
2008 abr.,01/04/2008,0.8278870,,,,4,,,,
2008 may.,01/05/2008,0.8162550,,,,5,,,,
2008 jun.,01/06/2008,0.7621370,,,,6,,,,
